Test,Question,Word,Meaning,Sentence,POS,Deck
Manhattan Prep,Text Completion,trumpet,proclaim widely or loudly.,John was not one to trumpet his success,verb,1
Manhattan Prep,Text Completion,improvident,not having or showing foresight; spendthrift or thoughtless.,improvident and undisciplined behaviour,adjective,1
Manhattan Prep,Text Completion,impecunious,having little or no money.,a titled but impecunious family,adjective,1
Manhattan Prep,Text Completion,inimical,"unfriendly; hostile, tending to obstruct",the policy was inimical to Britain's real interests,adjective,1
Manhattan Prep,Text Completion,aghast,filled with horror or shock.,"she winced, aghast at his cruelty",adjective,1
Manhattan Prep,Sentence Equivalence,paucity,the presence of something in only small or insufficient quantities or amounts.,a paucity of information,noun,1
Manhattan Prep,Sentence Equivalence,medley,a varied mixture of people or things.,medley of scents associated with variety of dishes,noun,1
Manhattan Prep,Sentence Equivalence,melange,a varied mixture.,melange of scents associated with variety of dishes,noun,1
Manhattan Prep,Reading Comprehension,tout,"attempt to sell (something), typically by a direct or persistent approach.",this pairing has been touted as the artisitic rivalry,verb,1
Manhattan Prep,Reading Comprehension,quintessential,representing the most perfect or typical example of a quality or class.,this pairing has been touted as the quintessential artisitic rivalry,adjective,1
Manhattan Prep,Text Completion,lugubrious,looking or sounding sad and dismal.,his face looked even more lugubrious than usual,adjective,1
Manhattan Prep,Text Completion,imbibe,drink,they were imbibing far too many pitchers of beer,verb,1
Manhattan Prep,Text Completion,lucubration,writing or study.,after sixteen years' lucubration he produced this account,noun,1
Manhattan Prep,Text Completion,magnanimity,generosity,,noun,1
Manhattan Prep,Text Completion,mettle,a person's ability to cope well with difficulties; spirit and resilience.,the team showed their true mettle in the second half,noun,1
Manhattan Prep,Text Completion,refractory,rebellious,"if the student had been less refractory, he wouldn't be expelled",adjective,1
Manhattan Prep,Text Completion,indigent,"poor, needy",a charity for the relief of indigent artists,adjective,1
Manhattan Prep,Text Completion,accolade,an award or privilege granted as a special honour or as an acknowledgement of merit.,"While others had given only accolades, the critic greeted the publication with criticism",noun,1
Manhattan Prep,Text Completion,impugn,"dispute the truth, validity, or honesty of (a statement or motive); call into question",Though many have impugned her conclusions,verb,1
Manhattan Prep,Text Completion,lyricism,an artist's expression of emotion in an imaginative and beautiful way;,the highly literary work made no attempt at lyricisms,noun,1
Manhattan Prep,Text Completion,delectable,delicious,,adjective,1
Manhattan Prep,Text Completion,reproach,expression of disapproval or disappointment.,the studies were beyond reproach,noun,1
Manhattan Prep,Text Completion,unflappable,having or showing calmness in a crisis.,Even seasoned opera singers who otherwise affect an unflappable air,adjective,1
Manhattan Prep,Text Completion,heckler,a person who interrupts a performer or public speaker with derisive or aggressive comments or abuse.,passed down from heckler to heckler over generations,noun,1
Manhattan Prep,Text Completion,intrepid,fearless; adventurous,our intrepid reporter,adjective,1
Manhattan Prep,Text Completion,incongruous,not in harmony or keeping with the surroundings or other aspects of something.,the duffel coat looked incongruous with the black dress,adjective,1
